Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Hong Kong,Unemployment Rate,2017-02-28T00:00:00,3.3,Monthly,HKUERATE,2017-03-16T08:32:00
Hong Kong,Unemployment Rate,2017-03-31T00:00:00,3.3,Monthly,HKUERATE,2020-01-20T09:44:00
Hong Kong,Unemployment Rate,2017-04-30T00:00:00,3.2,Monthly,HKUERATE,2017-05-19T08:29:00
Hong Kong,Unemployment Rate,2017-05-31T00:00:00,3.2,Monthly,HKUERATE,2017-06-20T08:29:00
Hong Kong,Unemployment Rate,2017-06-30T00:00:00,3.1,Monthly,HKUERATE,2017-07-18T08:28:00
Hong Kong,Unemployment Rate,2017-07-31T00:00:00,3.1,Monthly,HKUERATE,2017-09-18T08:30:00
Hong Kong,Unemployment Rate,2017-08-31T00:00:00,3.1,Monthly,HKUERATE,2017-10-19T08:31:00
Hong Kong,Unemployment Rate,2017-09-30T00:00:00,3.1,Monthly,HKUERATE,2017-11-16T08:30:00
Hong Kong,Unemployment Rate,2017-10-31T00:00:00,3,Monthly,HKUERATE,2017-12-18T08:30:00
Hong Kong,Unemployment Rate,2017-11-30T00:00:00,3,Monthly,HKUERATE,2018-01-18T08:30:00
Hong Kong,Unemployment Rate,2017-12-31T00:00:00,2.9,Monthly,HKUERATE,2018-02-22T08:30:00
Hong Kong,Unemployment Rate,2018-01-31T00:00:00,2.9,Monthly,HKUERATE,2018-03-19T08:30:00
Hong Kong,Unemployment Rate,2018-02-28T00:00:00,2.9,Monthly,HKUERATE,2018-04-19T08:30:00
Hong Kong,Unemployment Rate,2018-03-31T00:00:00,2.9,Monthly,HKUERATE,2018-05-17T08:30:00
Hong Kong,Unemployment Rate,2018-04-30T00:00:00,2.8,Monthly,HKUERATE,2018-06-19T08:30:00
Hong Kong,Unemployment Rate,2018-05-31T00:00:00,2.8,Monthly,HKUERATE,2018-07-19T08:30:00
Hong Kong,Unemployment Rate,2018-06-30T00:00:00,2.8,Monthly,HKUERATE,2018-08-17T08:30:00
Hong Kong,Unemployment Rate,2018-07-31T00:00:00,2.8,Monthly,HKUERATE,2018-08-17T08:30:00
Hong Kong,Unemployment Rate,2018-08-31T00:00:00,2.8,Monthly,HKUERATE,2018-10-19T08:31:00
Hong Kong,Unemployment Rate,2018-09-30T00:00:00,2.8,Monthly,HKUERATE,2018-10-19T08:31:00
Hong Kong,Unemployment Rate,2018-10-31T00:00:00,2.8,Monthly,HKUERATE,2018-12-18T08:31:00
Hong Kong,Unemployment Rate,2018-11-30T00:00:00,2.8,Monthly,HKUERATE,2019-01-17T08:31:00
Hong Kong,Unemployment Rate,2018-12-31T00:00:00,2.8,Monthly,HKUERATE,2019-02-21T08:30:00
Hong Kong,Unemployment Rate,2019-01-31T00:00:00,2.8,Monthly,HKUERATE,2019-03-19T08:30:00
Hong Kong,Unemployment Rate,2019-02-28T00:00:00,2.8,Monthly,HKUERATE,2019-04-18T08:30:00
Hong Kong,Unemployment Rate,2019-03-31T00:00:00,2.8,Monthly,HKUERATE,2019-05-20T08:30:00
Hong Kong,Unemployment Rate,2019-04-30T00:00:00,2.8,Monthly,HKUERATE,2019-06-19T08:30:00
Hong Kong,Unemployment Rate,2019-05-31T00:00:00,2.8,Monthly,HKUERATE,2019-07-18T08:30:00
Hong Kong,Unemployment Rate,2019-06-30T00:00:00,2.8,Monthly,HKUERATE,2019-08-19T08:30:00
Hong Kong,Unemployment Rate,2019-07-31T00:00:00,2.9,Monthly,HKUERATE,2019-09-17T08:30:00
Hong Kong,Unemployment Rate,2019-08-31T00:00:00,2.9,Monthly,HKUERATE,2019-10-18T08:31:00
Hong Kong,Unemployment Rate,2019-09-30T00:00:00,2.9,Monthly,HKUERATE,2019-10-18T08:31:00
Hong Kong,Unemployment Rate,2019-10-31T00:00:00,3.1,Monthly,HKUERATE,2019-12-17T08:30:00
Hong Kong,Unemployment Rate,2019-11-30T00:00:00,3.2,Monthly,HKUERATE,2020-01-20T08:30:00
Hong Kong,Unemployment Rate,2019-12-31T00:00:00,3.3,Monthly,HKUERATE,2020-02-18T08:31:00
Hong Kong,Unemployment Rate,2020-01-31T00:00:00,3.4,Monthly,HKUERATE,2020-03-17T08:30:00
Hong Kong,Unemployment Rate,2020-02-29T00:00:00,3.7,Monthly,HKUERATE,2020-04-20T08:30:00
Hong Kong,Unemployment Rate,2020-03-31T00:00:00,4.2,Monthly,HKUERATE,2020-05-19T08:30:00
Hong Kong,Unemployment Rate,2020-04-30T00:00:00,5.2,Monthly,HKUERATE,2020-06-16T08:30:00
Hong Kong,Unemployment Rate,2020-05-31T00:00:00,5.9,Monthly,HKUERATE,2020-07-20T08:30:00
Hong Kong,Unemployment Rate,2020-06-30T00:00:00,6.1,Monthly,HKUERATE,2022-05-19T09:11:00
Hong Kong,Unemployment Rate,2020-07-31T00:00:00,6,Monthly,HKUERATE,2022-05-19T09:11:00
Hong Kong,Unemployment Rate,2020-08-31T00:00:00,6.1,Monthly,HKUERATE,2020-10-20T08:31:00
Hong Kong,Unemployment Rate,2020-09-30T00:00:00,6.2,Monthly,HKUERATE,2022-05-19T09:11:00
Hong Kong,Unemployment Rate,2020-10-31T00:00:00,6.3,Monthly,HKUERATE,2022-05-19T09:11:00
Hong Kong,Unemployment Rate,2020-11-30T00:00:00,6.2,Monthly,HKUERATE,2022-05-19T09:11:00
Hong Kong,Unemployment Rate,2020-12-31T00:00:00,6.6,Monthly,HKUERATE,2021-02-18T08:31:00
Hong Kong,Unemployment Rate,2021-01-31T00:00:00,7,Monthly,HKUERATE,2021-03-16T08:31:00
Hong Kong,Unemployment Rate,2021-02-28T00:00:00,7.2,Monthly,HKUERATE,2021-04-22T08:30:00
Hong Kong,Unemployment Rate,2021-03-31T00:00:00,6.8,Monthly,HKUERATE,2021-05-20T08:30:00
Hong Kong,Unemployment Rate,2021-04-30T00:00:00,6.4,Monthly,HKUERATE,2021-06-17T08:31:00
Hong Kong,Unemployment Rate,2021-05-31T00:00:00,6,Monthly,HKUERATE,2021-07-20T08:30:00
Hong Kong,Unemployment Rate,2021-06-30T00:00:00,5.4,Monthly,HKUERATE,2022-05-19T09:11:00
